trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-16,1308,193000000,767000000,0,0,20000000,21906000
2025-12-16,6962,293015000,874000000,0,0,11834000,7597000
2025-12-16,1904,244000000,804000000,0,44975000,65000000,43378000
2025-12-16,009811,525000000,0,0,0,1593000000,2702787000
2025-12-16,1710,149000000,745000000,0,0,32000000,28276000
2025-12-16,8271,660005000,1197000000,0,0,2434000,62330000
2025-12-16,6531,830469000,1066746000,42000000,336000000,68000000,137698000
2025-12-16,3006,1110501000,1423500000,0,0,127372000,431545000
2025-12-16,2912,625373000,1184684000,0,61980000,74000000,74086000
2025-12-16,2383,1453610000,2207308000,104009000,32901000,238214000,177980000
2025-12-16,2049,590359000,1197011000,0,0,42732000,59411000
2025-12-16,6589,270000000,898000000,0,0,13000000,13091000
2025-12-16,2605,3156000000,3066000000,0,0,63420000,787095000
2025-12-16,1305,182000000,805000000,0,0,13000000,24505000
2025-12-16,1519,2497724000,3253845000,209000000,4334000,172321000,257775000
2025-12-16,1229,145251000,794706000,0,0,79000000,70443000
2025-12-16,3714,378000000,1020000000,0,0,38000000,38000000
2025-12-16,3167,1621220000,2279160000,0,0,38115000,46705000
2025-12-16,2347,3527000000,3366353000,63000000,896759000,339270000,338966000
2025-12-16,00850,4260000,139000000,30000000,0,92000000,675145000
2025-12-16,1310,53000000,729000000,0,0,17000000,29344000
2025-12-16,3030,2442500000,1414000000,0,1441000000,64464000,343144000
2025-12-16,9914,758000000,1405000000,0,0,39000000,83801000
2025-12-16,1514,968979000,1544206000,0,0,14000000,135451000
2025-12-16,2630,131000000,819000000,0,0,5010000,16281000
2025-12-16,3661,257686000,766928000,16000000,162000000,155582000,200324000
2025-12-16,00674R,0,0,0,0,402241000,1104006000
2025-12-16,6757,1797000000,1104231000,0,1385000000,26054000,40926000
2025-12-16,00927,30500000,401000000,0,0,1619180000,1965807000
2025-12-16,3011,450000000,1179000000,0,0,7552000,1000000
2025-12-16,2834,5815416000,6445167000,0,1000000,387000000,488000000
2025-12-16,00952,2000000,21000000,0,0,668000000,1384215000
2025-12-16,1313,460000000,1218000000,0,0,42000000,37000000
2025-12-16,6176,2953000000,2771149000,23000000,1070074000,186000000,91958000
2025-12-16,3019,666123000,1382930000,0,0,103000000,181576000
2025-12-16,6278,248522000,974000000,0,42079000,43000000,71184000
2025-12-16,2332,935144000,1771000000,0,0,58631000,19804000
2025-12-16,2034,228870000,863815000,0,0,23000000,200002000
2025-12-16,1608,2077864000,2728010000,0,0,24956000,238716000
2025-12-16,2352,2696179000,3605080000,62000000,85000000,88142000,48595000
2025-12-16,3189,2968103000,3417896000,166000000,3000000,13006000,631890000
2025-12-16,4934,210000000,1119120000,0,0,6024000,3000000
2025-12-16,1727,239000000,1147000000,0,0,5000000,5230000
2025-12-16,00947,7000000,177000000,0,0,295000000,1041181000
2025-12-16,2855,600000000,1513500000,0,6000000,0,0
2025-12-16,00904,58000000,106000000,0,0,480000000,1355015000
2025-12-16,2915,243000000,1119000000,0,3000000,37000000,96000000
2025-12-16,1312,663000000,1351483000,0,0,35391000,294801000
2025-12-16,1304,1116000000,1997000000,0,0,51000000,119628000
2025-12-16,2014,2276000000,2688000000,0,0,270000000,808047000
2025-12-16,2395,1307154000,2250431000,23000000,45642000,60000000,47494000
2025-12-16,9938,174000000,1112000000,0,0,20000000,41133000
2025-12-16,00685L,18170000,22000000,0,0,688506000,1668094000
2025-12-16,009813,500000,24000000,0,0,2936000000,3920000000
2025-12-16,6285,1129010000,2178900000,1000000,69619000,144000000,39017000
2025-12-16,009805,62000000,94000000,0,0,2009000000,3005735000
2025-12-16,6116,1038000000,1973000000,0,0,104000000,227435000
2025-12-16,2903,2094000000,5304000000,2079000000,6000000,113000000,39000000
2025-12-16,2455,687612000,1490000000,0,31000000,25000000,255159000
2025-12-16,9933,550342000,1613982000,0,19000000,42000000,37472000
2025-12-16,6477,822000000,1899000000,0,0,10000000,28435000
2025-12-16,4958,2909119000,3693000000,665000000,1110000000,281353000,153773000
2025-12-16,00692,19000,206000000,0,0,1374000000,2269733000
2025-12-16,2331,4418000000,5044000000,0,0,283870000,761189000
2025-12-16,00964,0,29000000,0,0,865000000,1948993000
2025-12-16,00951,12000000,597000000,0,0,9000000,551931000
2025-12-16,009800,22655000,94000000,0,0,530000000,1597851000
2025-12-16,2887I,943000,1149000000,0,0,0,0
2025-12-16,00934,0,425000000,0,0,850764000,1581718000
2025-12-16,3576,1297000000,2438000000,0,0,66260000,83000000
2025-12-16,2885,22620037000,21553734000,579000000,3899000000,2510251000,1432655000
2025-12-16,00670L,22550000,0,0,0,42000000,1283799000
2025-12-16,6153,248181000,1452529000,0,0,54000000,79325000
2025-12-16,00923,41000000,195000000,0,1000000000,1108054000,1193940000
2025-12-16,3704,597000000,1844000000,0,0,22000000,16710000
2025-12-16,00752,58054000,203000000,0,0,366000000,1488033000
2025-12-16,1905,124000000,1395000000,0,0,38000000,37791000
2025-12-16,2023,270000000,1552860000,0,0,70000000,59001000
2025-12-16,00971,0,48000000,0,0,308000000,1550700000
2025-12-16,2646,862000000,2117000000,0,0,89000000,144000000
2025-12-16,2009,1087000000,2122000000,0,0,26260000,343979000
2025-12-16,00633L,550000000,1487000000,0,0,3913300000,4382097000
2025-12-16,4915,1573800000,1479000000,0,1507276000,48000000,55537000
2025-12-16,2492,884169000,2056000000,1000000,0,33603000,298769000
2025-12-16,1718,285001000,1722000000,0,0,61000000,63000000
2025-12-16,2634,810289000,2063000000,0,0,60200000,249293000
2025-12-16,6209,2832826000,4226000000,0,0,47000000,103022000
2025-12-16,2897,1128000000,2597000000,0,9000000,141000000,125000000
2025-12-16,2329,2956431000,4024500000,0,0,67366000,465034000
2025-12-16,3050,1294000000,2826000000,0,0,3000000,11619000
2025-12-16,6213,1187135000,2588000000,0,0,42300000,209938000
2025-12-16,1210,754000000,2622000000,348000000,29000000,63000000,114631000
